match_id,referee,fourthOfficial,firstAssistant,secondAssistant,season_id,home_id,away_id,label,dateutc,winner,loser,home_team,away_team,home_logo,away_logo
5282767,H. El Fariq,M. El Baroudi,,,187701,35390,16179,"Riadi Salmi - Olympic Safi, 2 - 1",2021-12-29 19:30:00,JS Soualem,Olympic Safi,JS Soualem,Olympic Safi,https://cdn5.wyscout.com/photos/team/public/g34629_120x120.png,https://cdn5.wyscout.com/photos/team/public/2302_120x120.png
5028047,Y. Abu Salim,,,,185923,16171,16180,"Hassania Agadir - Raja Casablanca, 0 - 2",2020-08-11 19:00:00,Raja Casablanca,Hassania Agadir,Hassania Agadir,Raja Casablanca,https://cdn5.wyscout.com/photos/team/public/2303_120x120.png,https://cdn5.wyscout.com/photos/team/public/2298_120x120.png
5523307,Z. Moncef,A. Mohamed,,,189260,35390,16182,"JS Soualem - UTS Rabat, 1 - 0",2023-12-09 17:00:00,JS Soualem,UTS Rabat,JS Soualem,UTS Rabat,https://cdn5.wyscout.com/photos/team/public/g34629_120x120.png,https://cdn5.wyscout.com/photos/team/public/g3475_120x120.png
2775933,S. Guezzaz,,,,185922,16171,16184,"Hassania Agadir - Moghreb Tétouan, 1 - 0",2019-05-13 22:00:00,Hassania Agadir,Moghreb Tétouan,Hassania Agadir,Moghreb Tétouan,https://cdn5.wyscout.com/photos/team/public/2303_120x120.png,https://cdn5.wyscout.com/photos/team/public/2306_120x120.png
2775899,M. Kechaf,H. Errahmani,,,185922,16196,16178,"RSB Berkane - Khouribga, 1 - 1",2019-04-01 17:00:00,,,RSB Berkane,Khouribga,https://cdn5.wyscout.com/photos/team/public/g7512_120x120.png,https://cdn5.wyscout.com/photos/team/public/2301_120x120.png
2634648,M. Nhayeh,,,,181442,22864,16210,"Rapide Oued Zem - Chabab Atlas Khénifra, 1 - 0",2017-12-27 15:00:00,Rapide Oued Zem,Chabab Atlas Khénifra,Rapide Oued Zem,Chabab Atlas Khénifra,https://cdn5.wyscout.com/photos/team/public/g22136_120x120.png,https://cdn5.wyscout.com/photos/team/public/g13637_120x120.png
5523242,M. Nhayeh,Mouhcine Sordy,,,189260,16198,16168,"Youssoufia Berrechid - Chabab Mohammédia, 0 - 1",2023-09-16 20:30:00,Chabab Mohammédia,Youssoufia Berrechid,Youssoufia Berrechid,Chabab Mohammédia,https://cdn5.wyscout.com/photos/team/public/g7514_120x120.png,https://cdn5.wyscout.com/photos/team/public/3237_120x120.png
5395285,М. Kechaf,,,,188370,16195,16178,"FUS Rabat - Khouribga, 1 - 1",2023-03-11 15:00:00,,,FUS Rabat,Khouribga,https://cdn5.wyscout.com/photos/team/public/2310_120x120.png,https://cdn5.wyscout.com/photos/team/public/2301_120x120.png
5028102,J. Belbassri,T. Hicham,,,185923,16177,16214,"Mouloudia Oujda - Raja Beni Mellal, 1 - 1",2020-08-27 19:00:00,,,Mouloudia Oujda,Raja Beni Mellal,https://cdn5.wyscout.com/photos/team/public/g3470_120x120.png,https://cdn5.wyscout.com/photos/team/public/2604_120x120.png
5187475,M. Bellote,M. Zerzay,,,186508,16170,16198,"FAR Rabat - Youssoufia Berrechid, 3 - 2",2021-07-13 16:00:00,FAR Rabat,Youssoufia Berrechid,FAR Rabat,Youssoufia Berrechid,https://cdn5.wyscout.com/photos/team/public/2312_120x120.png,https://cdn5.wyscout.com/photos/team/public/g7514_120x120.png
5282788,B. Karboubi,A. Mohamed,,,187701,22864,16198,"Rapide Oued Zem - Youssoufia Berrechid, 0 - 0",2022-02-20 15:00:00,,,Rapide Oued Zem,Youssoufia Berrechid,https://cdn5.wyscout.com/photos/team/public/g22136_120x120.png,https://cdn5.wyscout.com/photos/team/public/g7514_120x120.png
5282858,J. Jiyed,M. El Baroudi,,,187701,16185,16195,"Difaâ El Jadida - FUS Rabat, 0 - 2",2022-06-22 16:00:00,FUS Rabat,Difaâ El Jadida,Difaâ El Jadida,FUS Rabat,https://cdn5.wyscout.com/photos/team/public/2309_120x120.png,https://cdn5.wyscout.com/photos/team/public/2310_120x120.png
5021909,K. Sabri,Y. Haraoui,,,185923,16171,16185,"Hassania Agadir - Difaâ El Jadida, 2 - 1",2020-01-21 18:00:00,Hassania Agadir,Difaâ El Jadida,Hassania Agadir,Difaâ El Jadida,https://cdn5.wyscout.com/photos/team/public/2303_120x120.png,https://cdn5.wyscout.com/photos/team/public/2309_120x120.png
5395143,H.Tamssamani,M. El Baroudi,,,188370,35390,16195,"JS Soualem - FUS Rabat, 0 - 1",2022-09-08 19:30:00,FUS Rabat,JS Soualem,JS Soualem,FUS Rabat,https://cdn5.wyscout.com/photos/team/public/g34629_120x120.png,https://cdn5.wyscout.com/photos/team/public/2310_120x120.png
5523350,N. Benrkiya,,,,189260,16195,16183,"FUS Rabat - Wydad Casablanca, 2 - 1",2024-02-07 15:00:00,FUS Rabat,Wydad Casablanca,FUS Rabat,Wydad Casablanca,https://cdn5.wyscout.com/photos/team/public/2310_120x120.png,https://cdn5.wyscout.com/photos/team/public/2299_120x120.png
5028010,M. Kechaf,T. Hicham,,,185923,16196,16195,"RSB Berkane - FUS Rabat, 0 - 1",2020-03-12 17:00:00,FUS Rabat,RSB Berkane,RSB Berkane,FUS Rabat,https://cdn5.wyscout.com/photos/team/public/g7512_120x120.png,https://cdn5.wyscout.com/photos/team/public/2310_120x120.png
5282730,J. Belbassri,A. Mohamed,,,187701,16178,16198,"Khouribga - Youssoufia Berrechid, 3 - 3",2021-11-21 17:15:00,,,Khouribga,Youssoufia Berrechid,https://cdn5.wyscout.com/photos/team/public/2301_120x120.png,https://cdn5.wyscout.com/photos/team/public/g7514_120x120.png
2775572,Y. Haraoui,,,,185922,16179,16202,"Olympic Safi - Chabab Rif Hoceima, 1 - 1",2018-11-04 18:00:00,,,Olympic Safi,Chabab Rif Hoceima,https://cdn5.wyscout.com/photos/team/public/2302_120x120.png,https://cdn5.wyscout.com/photos/team/public/2846_120x120.png
5282675,Y. Bouslim,M. Zerzay,,,187701,16173,16180,"Ittihad Tanger - Raja Casablanca, 0 - 1",2021-09-28 16:00:00,Raja Casablanca,Ittihad Tanger,Ittihad Tanger,Raja Casablanca,https://cdn5.wyscout.com/photos/team/public/g3466_120x120.png,https://cdn5.wyscout.com/photos/team/public/2298_120x120.png
5028155,H. El Fariq,S. El Atifi,,,185923,16184,16177,"Moghreb Tétouan - Mouloudia Oujda, 4 - 0",2020-10-04 16:00:00,Moghreb Tétouan,Mouloudia Oujda,Moghreb Tétouan,Mouloudia Oujda,https://cdn5.wyscout.com/photos/team/public/2306_120x120.png,https://cdn5.wyscout.com/photos/team/public/g3470_120x120.png
5187422,М. Kechaf,,,,186508,16173,60275,"Ittihad Tanger - Khemis Zemamra, 2 - 0",2021-05-26 18:15:00,Ittihad Tanger,Khemis Zemamra,Ittihad Tanger,Khemis Zemamra,https://cdn5.wyscout.com/photos/team/public/g3466_120x120.png,https://cdn5.wyscout.com/photos/team/public/g39043_120x120.png
5523429,S. Guezzaz,,,,189260,16198,16179,"Youssoufia Berrechid - Olympic Safi, 0 - 1",2024-04-19 19:00:00,Olympic Safi,Youssoufia Berrechid,Youssoufia Berrechid,Olympic Safi,https://cdn5.wyscout.com/photos/team/public/g7514_120x120.png,https://cdn5.wyscout.com/photos/team/public/2302_120x120.png
5282726,N. El Jaafari,Y. Haraoui,,,187701,16171,16170,"Hassania Agadir - FAR Rabat, 1 - 2",2021-11-07 15:00:00,FAR Rabat,Hassania Agadir,Hassania Agadir,FAR Rabat,https://cdn5.wyscout.com/photos/team/public/2303_120x120.png,https://cdn5.wyscout.com/photos/team/public/2312_120x120.png
